ID,MEMBER_ID,COMMENT
a2p4w000002JxpRAAS,0011U00000rj7eAQAQ,"Friendly, professional staff.  Very enjoyable bedside manner.  It was my wifes first visit to Dr. Davidson and she
was quite comfortable and enjoyed the care."
a2p4w000002Jyi7AAC,0011U00000rhulkQAA,"They're accessible, and so far, they've had good staff"
a2p3g000000qcpjAAA,0013g000009jwfTAAQ,Great doctor. Location is awesome
a2p4w000002JqAHAA0,0011U00000rjx2OQAQ,not everyone has access to this concierge service
a2p4w000001prRyAAI,0013g000007ZWjTAAW,I think it would fit our family’s needs.
a2p4w000001piMfAAI,0011U00000rkCNMQA2,I do not know whether they have a preferred clinic or physician elsewhere outside of XYZ.
a2p4w000001pxriAAA,0011U00000sh1M8QAI,Convenience
a2p3g000000qnlTAAQ,0013g00000KS7wAAAT,Doctor seemed attentive and knowledgeable.
a2p3g000000qiseAAA,0013g00000CyYNKAA3,Handy clinic location. I liked the doctor. Hate the portal.
a2p3g000000qZqjAAE,0011U00000riZp6QAE,Having to constantly go to another facility for imaging is garbage. Nice to have multiple locations though
a2p4w000002JtZAAA0,0013g000002vOl4AAE,Can get in for an appointment and take care of basics; practitioners show interest in patient wellbeing. Some limitations but good program overall.
a2p3g000000qolZAAQ,0013g00000CyO8HAAV,"I've yet to have an in-person appointment, but I've been very impressed with the ease of reaching a provider, and the professional, prompt care I received over the phone."
a2p4w000002K0d9AAC,0011U00000rjCcCQAU,"If one is under 65 it is a great option to have but since the over 65 people are not served by XYZ, that makes it not as useful."
a2p4w000001pkH8AAI,0013g0000091fF0AAI,"The Doctor that saw me that day, could of been more personable"
a2p4w000001pqQBAAY,0011U00000rilIVQAY,"they called me told me they made me an appt for specialist .when i called the dr they said they are only in Louisville, not in IN and they did not have me down for an appt  -,so called XYZ and they called me back with another doctor to call and set up my own  appt"
a2p1U000000RpaXQAS,0011U00000rjUE6QAM,"Convenient location, timely and quality service."
a2p3g000000KysqAAC,0011U00000risWOQAY,good service
a2p1U000000RoalQAC,0011U00000rjYMWQA2,"Quick, friendly service, pharmacy on hand so didn't have to make another run to the pharmacy"
a2p1U000000RprrQAC,0011U00000rigjxQAA,Good experience. Quick follow up.
a2p1U000000RtL3QAK,0011U00000rjm6nQAA,It'seems an option with our city plan.
a2p1U000000RpQFQA0,0011U00000rjFWWQA2,"From my initial visit, it seems like a convenient set up with helpful services."
a2p1U000000Rt6aQAC,0011U00000rjqqkQAA,"Well, they can't join XYZ unless their employer participates."
a2p1U000000RpcHQAS,0011U00000riornQAA,Great customer service!
a2p3g000000oRXUAA2,0011U00000riBXPQA2,"Convenient, and like the Doctors and Katie"
a2p3g000000KzE3AAK,0011U00000rjhxlQAA,"Appointments are pretty easy to get so far.  And having prescriptions, and a lab on hand make it easier."
a2p1U000000RqQJQA0,0011U00000rjC3DQAU,"accessibility is very good.  The MA, Bethany, at the Arvada clinic is excellent.  I have not seen Dr Shuherk yet."
a2p1U000000RsodQAC,0011U00000rjRNyQAM,"While the appt. was speedy to get (same day), I didn't have great service."
a2p1U000000RqBdQAK,0011U00000riBkgQAE,"easy convenient scheduling, good amount of time with the doctor."
a2p3g000000KynLAAS,0011U00000rjQabQAE,"If you are a state employee, it is a good deal."
a2p1U000000RqEzQAK,0011U00000ri70lQAA,The doctor took time to get to know my health history and addressed any health concerns I had during my appointment.
a2p1U000000RqY5QAK,0011U00000sgyVZQAY,Love Dr. Robertson
a2p1U000000RtSkQAK,0011U00000riQP6QAM,I really liked Dr. DeAlleaume and the time that she took to get to know my son and my health.   I felt the care right then and there.
a2p3g000000pIvsAAE,0011U00000riFIoQAM,Easy to make appointments. Dr spends quality time with you
a2p3g000000owMAAAY,0011U00000rja9yQAA,Easy to get appt. nice people
a2p3g000000pa3PAAQ,0011U000011h89jQAA,Near work. Easy to schedule. Easy to use.
a2p3g000000pbs9AAA,0011U00000rj90fQAA,Close to home and work
a2p3g000000owNcAAI,0011U00000risDVQAY,"I appreciate the time that they will commit to the patient. They invest their time to learn about their patient and how they can best serve them. In-house lab work is a plus, many of their services that are done in house are covered 100%."
a2p3g000000osHTAAY,0011U00001Bf8N5QAJ,Please tell us why
a2p3g000000owO0AAI,0011U00000rhvAcQAI,"The attentive nature of the staff, but especially the doctor and the time they were able to spend with me."
a2p3g000000p2CIAAY,0011U000019xyaZQAQ,"I had a biometric screening and the person that did the screening wrote my numbers/info on a post-it note, my name was never written down attached to my info. My blood was then drawn and put into a tube that did not have my name on it."
a2p3g000000pEwrAAE,0011U00000riqiYQAQ,"My last two interactions with Dr. Black and the office staff have been great!  However, my husband and I have had multiple instances where XYZ was supposed to call us back and did not.  One of these was when I spoke to Dr. Bernardy in late June with a CoVID diagnosis.  She never called back.  Prior to that, after seeing his XYZ doctor on telehealth and in-person appointments my husband was waiting for a referral to have a specialist take a sample of a lesion. He was never contacted, despite him reaching out a couple of times and then me reaching out and expressing our significant displeasure for the lack of responsiveness, especially given the potential seriousness of the lesion that required more expertise than the general practitioner.  We have gone with XYZ because of your model which it to provide more personalized care than a regular PPO provider.  This has certainly not been our experience in these cases, and in fact the level of service is far below any expectations for any medical provider."
a2p3g000000pHqSAAU,0011U00000riZpOQAU,"Personal service, very available for appointments"
a2p3g000000plxJAAQ,0011U00000rjS2RQAU,No co-pay for office visits.
a2p3g000000p4c0AAA,0011U00000ricZ2QAI,"Convenience to office, efficiency of location."
a2p3g000000phCxAAI,0013g000007a7mhAAA,"They would not let me be seen in person, and did absolutely nothing for my PINK EYE."
a2p3g000000ou9HAAQ,0011U00000rjsCoQAI,It's always been easy to get an appointment. Each visit has felt very comfortable and personalized. I appreciate the amount of time spent understanding my medical history.
a2p3g000000pitdAAA,0013g00000Bl3iPAAR,"Quality assistance, easy appointment time, quick access to a doctor"
a2p3g000000pg9dAAA,0011U00000ricVNQAY,Quick and easy.  Able to speak with a doctor over the phone in a timely manner.
a2p3g000000pGyaAAE,0011U00000riztyQAA,The doctor took plenty of time to answer my questions and look into any concerns I had.
a2p3g000000p8EpAAI,0011U00000rjGFjQAM,Ease of use
a2p3g000000oyJuAAI,0011U000019xyb2QAA,Wasn’t very clean and very dated office soace
a2p3g000000pPHQAA2,0011U00000rjVkJQAU,I feel like I'm listened to and my concerns are all addressed. It's also just a really friendly environment.
a2p3g000000pZA5AAM,0013g00000B4lU4AAJ,"only had a blood test done, !st time there, took 5 min, the receptionist/girl who drew blood was very nice,and did a good job. cant really form an opinion on that quick little visit."
a2p3g000000pEvKAAU,0011U00000rivGHQAY,I had to wait a week and a half for an appointment.
a2p3g000000ptZ5AAI,0011U00000riBIUQA2,"The clinic is in-network. Easy to schedule, clear communications, friendly staff."
a2p3g000000pVDFAA2,0013g000006uJT1AAM,"First visit - hard to tell from just one visit, one experience. I was overall very impressed but will need a bit more time to make a full assessment."
a2p3g000000pHs4AAE,0011U00000rjY8JQAU,So far what I have experienced has been positive but I'm not really clear on how this integrates with my Horizon providers.
a2p1U000000RqFiQAK,0011U00000riwpfQAA,It was a good visit but only my first one so I am not exactly sure how I feel yet.
a2p3g000000LAg4AAG,0011U00000rk3RyQAI,"Friendly staff, timely appointment setup, adequate time to discuss/address health issues."
a2p1U000000RtTIQA0,0011U00000rjVupQAE,"Helpful, convient, fast"
a2p1U000000RolYQAS,0011U00000rk9cIQAQ,It's getting better but the constant change in staff was tough
a2p1U000000RprRQAS,0011U00000riLA6QAM,Rapid appts. Personalized care
a2p1U000000RoH8QAK,0011U00000rhvAaQAI,I was pleased with my appt.  Dr Thomas was thorough and professional.   This was my first appt.
a2p3g000000LAdEAAW,0011U00001An2a0QAB,Phone kept freezing up..
a2p1U000000RpeGQAS,0011U00000rhu8eQAA,Good service. Attention to patient care. Easy to get appointment when needed quickly.
a2p1U000000RtMBQA0,0011U00000rj4GvQAI,The Dr listened to my concurs and was  very friendly
a2p1U000000RpXdQAK,0011U00000riMCFQA2,"I initially liked what XYZ said they offer. I was with one doctor 2 years and it cost me much more than had I continued with my primary care doctor. Due to an illness, I've seen 3 specialists who have pretty much milked it and my doctor with XYZ could not do much, though she was very nice. I am now seeing a different XYZ doctor and receiving some helpful input to bettering my condition. That said, I would not recommend XYZ to others."
a2p1U000000Rsa0QAC,0011U00000rhxs0QAA,Friendly service and great follow up.
a2p3g000000KyuLAAS,0011U00001AmvpmQAB,I really like the time that the doctor took with me and the fact that he called me personally with my test results a few days later.
a2p1U000000RuwyQAC,0011U00000rk6zIQAQ,Though exam
a2p1U000000RsgjQAC,0011U00000rjxilQAA,Great experience all around. From the medical assistant to the doctor we felt like people and that we were listened to. We also felt like we were in good hands and the staff went above and beyond.
a2p1U000000Rq8FQAS,0011U00000rjZ0lQAE,I love that clinic. They are all so nice
a2p1U000000RqcrQAC,0011U00000ri9XTQAY,good MD
a2p1U000000RtCpQAK,0011U00000rjQdOQAU,"Due to the great staff, how soon you can be seen by a Doctor, and affordability."
a2p1U000000Rq8nQAC,0011U00000rjiVSQAY,I was seen within hours of calling and everyone was very helpful and friendly.
a2p1U000000RpqnQAC,0011U00000ri93NQAQ,I was misdiagnosed and ended up in an urgent care 2 days later.
a2p1U000000RqOXQA0,0011U00000rjC3DQAU,I have not used it enough and I feel the logistics between the 2 clinics and records passing back and forth between facilities is not worked out yet.
a2p1U000000Rq6QQAS,0011U00000riEIDQA2,prompt service cost was cheap
a2p1U000000l8GGQAY,0011U00000rjyaVQAQ,Did not care for the doctor I saw.  He is nothing like Dr.Song
a2p1U000000l8FjQAI,0011U00000rjeuCQAQ,I like Dr. Jennifer Watson.
a2p1U000000RqeTQAS,0011U00000rjWhpQAE,the ability to have longer visits with the doctors to cover all issues.
a2p1U000000RppwQAC,0011U00000rjM3CQAU,"This program was promoted as a way to see a doctor quickly and lessen the time away from work. I work in Puyallup. I was sick and requested an appointment on Thursday for vertigo, ear and sinus infection. The Dr. in Puyallup had no openings, called and wanted me to drive to Tacoma the following day at 11:30 to be seen. I went to Sound Family medicine and was treated the same day."
a2p1U000000RtLfQAK,0011U00000riLmRQAU,Very patient focused
a2p1U000000RpFvQAK,0011U00000rjnb0QAA,"Great place, very friendly environment, the doctor Nina and Tina the nurse are the best! They make feel that I can tell them anything and will be listened."
a2p1U000000RpCbQAK,0011U00000ri8zqQAA,It's convenient.  Dr Nina is very easy to talk to and is very knowledgeable
a2p1U000000RqUFQA0,0011U00000rhqMLQAY,"Both the Dr and nurse were professional, nice and accommodating."
a2p3g000000KzsWAAS,0011U00000rjnbOQAQ,I have always had good relationships with my doctors there.
a2p1U000000RoWsQAK,0011U00000rjXd2QAE,Simplicity of use
a2p1U000000RoSZQA0,0011U00000riX1JQAU,Easy to get in and out. My doctor is friendly.
a2p1U000000RtD2QAK,0011U00000rjW4jQAE,"I don't care for the new doctor, Dr. McCay. The nursing staff is still phenomenal, but Dr. Noble was much more personable and eager to help his patients in any way he could."
a2p1U000000RpoGQAS,0011U00000riR0fQAE,takes so long
a2p3g000000KyqjAAC,0011U00000rk6dBQAQ,Close to work
a2p1U000000RsxzQAC,0011U00000rimiBQAQ,Very thorough first visit. Definitely felt as though there was adequate time to discus health issues.
a2p1U000000RqCnQAK,0011U00000rjnypQAA,I felt very cared for. I felt compassion from all I encountered. I love that they seek to get people off of meds by choosing healthier lifestyles.
a2p3g000000L1OBAA0,0011U00000ridpoQAA,helpful and financially beneficial
a2p1U000000RoZvQAK,0011U00000rj5fcQAA,Felt like I didn't get the care I needed
a2p1U000000l8CHQAY,0011U00000rkBYaQAM,Convenient and easy
a2p1U000000RoTvQAK,0011U00000rjvUhQAI,I usually don't refer places to anyone.
a2p1U000000RqKeQAK,0011U00000sgyb3QAA,Was able to get an appointment quickly.  Dr. took alot of time with me.
a2p1U000000RqccQAC,0011U00000rj1FgQAI,I enjoy the convenience of XYZ and the lack of crowds and long waiting times.
a2p1U000000l8ESQAY,0011U00000rhrvCQAQ,It's inexpensive and convenient.
a2p3g000000oRlzAAE,0011U00000ritnoQAA,Office was clean. Doctor  was knowledgeable and took time.
a2p1U000000RoN4QAK,0011U00000rjJyiQAE,In and out quickly. Dr G is pretty thorough and informative.
a2p1U000000RvGWQA0,0011U00000riIUZQA2,"It is convenient, and easily accessible"
a2p1U000000RsofQAC,0011U00000ri6NyQAI,Only been to the office twice (once to make the appointment and the second time for the appointment). Staff was courteous and I didn't have to wait long. Dr. Giles took time to let me ask questions and seemed very engaged and provided detailed answers.
a2p1U000000Rqc1QAC,0011U00000rjYVQQA2,Staff is very personable and approachable.
a2p1U000000RqBgQAK,0011U00000rjaijQAA,"Great doctor, took the time in discussing issues and providing information regarding the issues."
a2p3g000000KzCKAA0,0011U00000rhzg8QAA,Good hours. Nice Dr.
a2p1U000000Rom9QAC,0011U00000rk5e2QAA,"Location is convenient and staff is friendly and professional.  Plus, they treat you like family."
a2p1U000000Rsa5QAC,0011U00000rjUilQAE,"First time I've visited - very pleasant, nice friendly staff - but not enough time/experience to give a resounding recommendation yet. Called on Monday, couldn't get appointment before Thursday - not the exactly the see us on a moments notice that was advertised."
a2p3g000000LAfxAAG,0011U00000rjectQAA,"easy to schedule, no long wait, available appt dates"
a2p1U000000Rt4EQAS,0011U00000riW6JQAU,"Easy to get an appointment, short wait times, very helpful financially."
a2p4w000002O4WyAAK,0014w000031qdQlAAI,When you are sick the clinic is never open.  You have to do a phone call or a video chat with them.
a2p4w000002O47eAAC,0011U00000rjlJ6QAI,"I have seen Terri, PA twice now for wellness exams. She seems rushed and abrupt. I get the sense that she is competent and knowledgeable, but she doesn't seem interested in me as a whole person. I have been VERY pleased with other staff I have met for urgent care."
a2p1U000000Ro4ZQAS,0011U00000rjn7iQAA,"Not bad but not excellent service.  I feel like my time is not/was not valued.  Even when scheduling an appointment and every time I've gone in, I've had to wait.  Having to wait when I was the only one in the clinic had me raising an eye brow......"
a2p1U000000Rq1NQAS,0011U00000rjF5rQAE,Easy to use
a2p1U000000Ro7SQAS,0011U00000rj7gbQAA,Easy and convenient to make appointments. My doctor is excellent. I feel like I get personal attention.
a2p1U000000RqGMQA0,0011U00000riwAwQAI,Like my Dr. But the hours are tough. Called Sat night with a fever and there is no one to help me.
a2p1U000000RopKQAS,0011U00000rikoLQAQ,I work for a municipality and all employees use XYZ
a2p1U000000RsWeQAK,0011U00000riWj2QAE,First visit. It seems my coast guard physical that was filled out during my yearly physical is lost. Two days after my physical I called Morgan with the request to call in my prescription to the HWY 41 harris teether pharmacy. Today (Saturday) my wife had to beg for 3 pills because it wasn't called in. Never had that problem with my old doctors office.
a2p1U000000RsVhQAK,0011U00000riK5hQAE,"great service, no wait,"
a2p1U000000RtDVQA0,0011U00000rjhvXQAQ,"no wait, respectful of my time"
a2p1U000000RpmUQAS,0011U00000rjNzaQAE,Not sure if Dr. John Reiskytl is the right fit.
a2p1U000000RoVeQAK,0011U00000rjB4hQAE,great medical care!
a2p1U000000Rsi0QAC,0011U00000ri4qwQAA,"Ease of appointments, friendliness of staff and Doctor."
a2p1U000000RskCQAS,0011U00000rjSsMQAU,Everyone is friendly and the Drs are caring.
a2p1U000000RtHIQA0,0011U00000rjhepQAA,It is convenient and easy to schedule an appointment.
a2p1U000000RsWaQAK,0011U00000rjhepQAA,I got right in and got personal attention.
a2p3g000000pW6PAAU,0011U000019xyTDQAY,XYZ is not available in the area I live in.
a2p1U000000l8F2QAI,0011U00000riuKTQAY,Worst experience ever..nurse and dr. lied to my face then to my wife. Said she would tie my wife down to draw blood. Head person in charge didnt care that her workers lied to us. She didnt nothing about it
a2p1U000000RswFQAS,0011U00000riPVeQAM,No full time doctor
a2p1U000000RqRrQAK,0011U00000rjtwQQAQ,It is easy to set an appointment and I think the Doctor is thorough in his assessments.
a2p3g000000L0SIAA0,0011U00000rjZgLQAU,Everyone was super nice and they didn't even mention anything to me about being 15 minutes late haha.
a2p1U000000Rq6TQAS,0011U00000ribkZQAQ,Dr. Davidson will take all the time needed to talk with you to find out what is wrong then put a plan together to correct it. Never had a doctor spend this much time with a patient. Usually appointments with other doctors are no more than 10 to 15 min. in and out as fast as they can and they will only address one issue per visit. Dr. Davidson addressees every concern and no co-pay.
a2p1U000000RpkUQAS,0011U00000riSvEQAU,Only went there for wellness check
a2p3g000000q4aeAAA,0011U00000rk0F9QAI,Good healthcare that is convenient and comfortable
a2p1U000000Rq9WQAS,0011U00000rhzPdQAI,It feels like it's a starting point for new doctors.  I'm not confident in their treatments.
a2p1U000000RqGiQAK,0011U00000riGN8QAM,Convenience and no cost
a2p1U000000RpLwQAK,0011U00000sgyU2QAI,Previous visits with my children.
a2p3g000000qC3TAAU,0013g000007PfNTAA0,I like the atmosphere and attitude of physician
a2p1U000000RvE1QAK,0011U00000rj6YsQAI,not a 10 because I have only had one visit but I was very pleased with the care and concern taken and given in that one appt.
a2p3g000000pui8AAA,0011U00000riozqQAA,easy appointment with my doctor.
a2p3g000000ptWaAAI,0011U00000rk1sJQAQ,"Dr. Hathaway, Kim and Oneisha and Rochelle are all helpful and kind. Rochelle always said ""...you can always call us. we are here for you"". Dr. Hathaway will do her best to take care of you. She is a good listener."
a2p3g000000qA8RAAU,0011U000019xyWUQAY,All in All it was OK
a2p1U000000RohBQAS,0011U00000rieIHQAY,"Knowledgeable staff, thorough and caring"
a2p3g000000q5TyAAI,0013g000003onROAAY,I feel like my doctor doesn't really listen to what I say.  I am struggling to get on the right medication and I just get referred to a therapist when I have already seen several in my past.
a2p1U000000Rsz0QAC,0011U00000rizTdQAI,This was my first visit. Dr. Ritter seems to be wonderful. The  downside of it the office is just a little far to drive to.
a2p1U000000RsoYQAS,0011U00000rihrdQAA,because it is convenient and doctors know by name and truly know you and the family.
a2p1U000000Rq2LQAS,0011U00000rjpeYQAQ,"I've been coming here for years and I love the place. The problem lies in the new receptionist. Chris was awesome. Sarah was great and greets me with a smile. The new person is texting on her phone all day. She doesn't greet me nicely. I fact, I feel like I'm the one inconveniencing her by being there. I once stood at the front of the desk for a minute or two while she texted someone. Only when I made some noise did she notice me. I LOVE the rest of the staff but this lady needs training."
a2p1U000000RqGFQA0,0011U00000rj2mJQAQ,"Caring and thorough physicians, easy to make appointments"
a2p1U000000RpsCQAS,0011U00000riLXGQA2,Most recent visit a doctor that is no longer with XYZ had in my records that I had foot surgery. Hopefully this is an isolated incident as that information is not accurate.
a2p1U000000RtDDQA0,0011U00000riKrvQAE,The lady working the front desk was not friendly at all.  (She had dark hair).  She talked but did not look at me the entire time.  She was not that busy.
a2p1U000000Rq8QQAS,0011U00000rj9hWQAQ,.
a2p1U000000RspUQAS,0011U00000riEIRQA2,Doctors and staff are friendly and it is easy to schedule an appt.
a2p1U000000RusFQAS,0011U00000rjcrzQAA,Because i was able to get into the dr the same  day i called and because he listened to what i had to say.
a2p1U000000Rpb5QAC,0011U00000rk5LjQAI,"My annual check up is always great, but when I am sick, it is next to impossible to get in to see someone."
a2p4w000002O3rqAAC,0014w000031qfjWAAQ,I feel like I get the bare minimum of help.
a2p1U000000RsrLQAS,0011U00000rjEbQQAU,She and her office staff were very friendly and responsive
a2p1U000000RqXMQA0,0011U00000rjrtCQAQ,The staff is very welcoming and courteous.
a2p1U000000RsZdQAK,0011U00000rk6iBQAQ,"Made an appointment 1 hour before seeing doctor, friendly staff, thorough examination."
a2p3g000000oeWpAAI,0011U00000rjXPpQAM,Not something I do.
a2p1U000000Row3QAC,0011U00000rjI0eQAE,"My Appointment was scheduled at 9 am and I received an email confirmation with that time on it.  When I arrived to my apt at 8:40 am I was told my apt was at 8 and would not be able to be seen.  After my pleading they did see me.  I did return to my office and reviewed the email confirmation again, and it clearly states my apt was at 9 am."
a2p1U000000RonwQAC,0011U00000rjr1bQAA,Convenient to office and quick
a2p1U000000Rsk1QAC,0011U00000ric9lQAA,"I like the concept, and I've already talked with several people."
a2p3g000000oReoAAE,0011U00001BfUB3QAN,"The process of scheduling and the online portal were fine.  The NB office does not have many physicians to choose from.  My appt. was for the biometric and get established as a patient.  The biometric was not as thorough as it has been in the past.  The other portion of the visit was very detailed about family history and my history and she checked my heart, that is it.  I was not asked about concerns I had of my health or well being.  I feel like the visit could have addressed concerns I had. The visit was too in depth with history rather than current health."
a2p3g000000oRluAAE,0013g000006tedNAAQ,I'm too new to do a 10 but so far so good
a2p1U000000RsSLQA0,0011U00000rjX9jQAE,The office I went to was new and I didn't feel super confident of either the receptionist/nurse or doctor.
a2p1U000000Rt5RQAS,0011U00000riJ48QAE,let me see doctor as a walk in.  was really sick and needed to be seen
a2p1U000000RptoQAC,0011U00000riSFlQAM,I like that it is next door and so easy to get in.  I also like Dr. McCay and the time he took with me to talk about my problem.
a2p3g000000oeVHAAY,0011U00000rjUmhQAE,fast good service
a2p1U000000RpKPQA0,0011U00000rhwOrQAI,"The ease of scheduling. And I was impressed with  the way Dr. Fury was available, direct and able to respond and explain things in a direct yet validating appriach."
a2p1U000000RoPOQA0,0011U00000rjcITQAY,"There are no office visit copays, prescriptions are reasonably priced, and friendly staff."
a2p4w000002O3ohAAC,0014w000031fxWYAAY,They need to organize the annual physical for a one day program to avoid members from losing multiple days of work.
a2p1U000000RsVCQA0,0011U00000rkCQiQAM,Service was very good
a2p1U000000RpwsQAC,0011U00000rii5dQAA,Good experience in the clinic.  Easy check-in process.
a2p1U000000RpG2QAK,0011U00000rk2XtQAI,I love how easy it is to get in to see the doctor the same day for appointments and responses to questions as well as picking up my medications while there so I don't have to make a trip to the pharmacy and wait for prescriptions to be filled.
a2p1U000000RqDrQAK,0011U00000rk2XtQAI,Fast same day appointments.  Dr. Malfese always takes time to listen to me.
a2p3g000000KysAAAS,0011U000011En8fQAC,"I have really liked every interaction that I have had with XYZ, however some of the things that were promised in the information meetings were not really true. We were told that there would be no charge for labs and that you would get your prescriptions filled for free.  There are only certain labs that are free and I got charged for the other labs.  I had labs drawn earlier in the year with the same insurance through lab core directly and it cost me nothing. So XYZ actually cost me more. I asked about the prescriptions and was told that they have some medications but they only give out a starter dose on new prescriptions they order. We were told in the meetings that we would not need referrals to other specialties because the physicians at XYZ can do those consults themselves- that is not true.  I experienced a delay in care caused by them not having access to the SSM EHR.  If this is the SSM Direct Care provider they should have access to the EHR and get notifications of results . Chest xray done on a Thursday at SSM - ready the same day.  I had to call XYZ because I had not heard anything on Monday and they had to call SSM.  Seems that there should have been better follow through on this."
a2p4w000002K1bnAAC,0011U00000rirhgQAA,"Everyone is very nice, but sometimes things seem a little rushed."
a2p4w000002JxSrAAK,0013g0000094p5dAAA,"I've had easy, satisfactory experiences."
a2p4w000002Jq4TAAS,0011U00000rjaNWQAY,Ease of making appointments and seeing the doctor.
a2p4w000002KGJ0AAO,0011U00000rjs6IQAQ,Good expirience
a2p4w000002K1cRAAS,0013g000007OyUAAA0,The appointment process through the appointment is always smooth and easy for myself and my family.
a2p4w000002K4ONAA0,0011U00000rij9kQAA,My family has received good care and really great Customer Service.
a2p4w000002NyBQAA0,0011U00000rjj4AQAQ,to my coworkers
a2p4w000002NzRPAA0,0011U00000riw6fQAA,Great customer service and great doctor
a2p4w000002NzloAAC,0014w000031fxerAAA,You are new to us. So far so good.
a2p4w000002NyldAAC,0011U00000rk9bnQAA,Dr. Song-Nichols is fantastic but the scheduling system is very problematic.
a2p4w000002NylOAAS,0011U00000rj8ovQAA,"Because of your Bad Bad, Website Access portal"
a2p4w000002Nyz1AAC,0011U00000rjYrMQAU,The staff got me in at a last minutes notice and they were all beyond friendly.
a2p4w000002Nzb5AAC,0013g000007ZZLjAAO,Office Staff has no knowledge about basic Insurance questions or claims.  specially when having double medical coverage.
a2p4w000002Nyo3AAC,0011U00000rjUmeQAE,"Told the doc I had a sinus infection,  he said probably covid.... 
Then recommended the worst version of the vaccine , and finally requested antibiotics,  order was never placed,  and when it was fixed,  wasn't even sent to the right pharmacy,  seriously ??
That's my review , do better. 
This is the clinic at beer Capitol."
a2p4w000002NzpRAAS,0011U00000rjW4IQAU,"Great patient care, however there is little availability, it took me 2-3 weeks to get an appointment with my provider, often no appointments available for urgent concerns, and the receptionist will tell you to go to ""urgent care"" even though it's an issue that your PCP could resolve"
a2p4w000002KK2XAAW,0011U00000ricrGQAQ,Don’t usually talk health and do you still need to be a member
a2p4w000002NyjDAAS,0011U00000riKvjQAE,Ease of scheduling; time spent by physician with patient is much more than in a typical health care practice.
a2p4w000002KHgKAAW,0011U00000rkAXMQA2,Love Kim Spencer
a2p4w000002O0h4AAC,0014w00002pQCj3AAG,Was seen in a timely manor and treated professional for my needs
a2p4w000002NzxVAAS,0011U00000riXwZQAU,"There is little wait time to see the Dr when you arrive for your appointment.
The visit doesn't seem rushed.
All of the staff is very friendly."
a2p1U000000RptDQAS,0011U00000riXzCQAU,You guys are very accommodating to the patients needs. Not long waiting times to see the doctor.
a2p1U000000RoCzQAK,0011U00000ri4qRQAQ,My experience was very positive.
a2p3g000000KymcAAC,0011U00000riDhsQAE,Not totally happy with some aspects of the office
